0,229; 0,222; 0,222; 0,222; 0,219; 0,222; 0,219; 0,221; 0,219; 0,22; 0,222; 0,221; 0,22; 0,222; 0,219; 0,223; 0,221; 0,221; 0,222; 0,22;
0,45; 0,427; 0,448; 0,441; 0,429; 0,435; 0,425; 0,431; 0,43; 0,429; 0,446; 0,427; 0,437; 0,433; 0,427; 0,442; 0,427; 0,424; 0,446; 0,431;
0,261; 0,257; 0,257; 0,26; 0,265; 0,256; 0,268; 0,258; 0,255; 0,255; 0,257; 0,256; 0,256; 0,256; 0,269; 0,255; 0,257; 0,256; 0,257; 0,255;
0,081; 0,08; 0,08; 0,079; 0,08; 0,08; 0,079; 0,08; 0,08; 0,079; 0,08; 0,079; 0,08; 0,079; 0,08; 0,08; 0,079; 0,083; 0,079; 0,08;
0,146; 0,145; 0,145; 0,146; 0,145; 0,145; 0,145; 0,149; 0,146; 0,147; 0,145; 0,145; 0,145; 0,146; 0,145; 0,146; 0,145; 0,145; 0,146; 0,145;
0,778; 0,773; 0,781; 0,777; 0,774; 0,774; 0,778; 0,77; 0,767; 0,766; 0,776; 0,778; 0,775; 0,772; 0,769; 0,771; 0,781; 0,776; 0,775; 0,781;
0,463; 0,46; 0,457; 0,461; 0,464; 0,459; 0,465; 0,473; 0,459; 0,467; 0,46; 0,454; 0,46; 0,457; 0,457; 0,458; 0,458; 0,458; 0,458; 0,457;
0,142; 0,141; 0,141; 0,14; 0,153; 0,141; 0,141; 0,14; 0,139; 0,142; 0,141; 0,14; 0,14; 0,139; 0,143; 0,139; 0,142; 0,141; 0,139; 0,143;
0,253; 0,248; 0,252; 0,25; 0,248; 0,251; 0,247; 0,249; 0,25; 0,255; 0,248; 0,25; 0,247; 0,249; 0,25; 0,246; 0,248; 0,246; 0,249; 0,246;
0,443; 0,443; 0,437; 0,432; 0,43; 0,433; 0,434; 0,431; 0,438; 0,432; 0,433; 0,454; 0,435; 0,432; 0,433; 0,433; 0,436; 0,445; 0,433; 0,434;
0,268; 0,263; 0,263; 0,264; 0,265; 0,268; 0,265; 0,265; 0,267; 0,265; 0,264; 0,264; 0,265; 0,264; 0,267; 0,266; 0,267; 0,266; 0,264; 0,261;
0,088; 0,085; 0,086; 0,085; 0,085; 0,086; 0,086; 0,085; 0,086; 0,087; 0,086; 0,086; 0,085; 0,085; 0,088; 0,086; 0,086; 0,085; 0,086; 0,086;
0,157; 0,151; 0,151; 0,149; 0,153; 0,154; 0,151; 0,153; 0,15; 0,153; 0,149; 0,149; 0,15; 0,15; 0,15; 0,152; 0,15; 0,15; 0,15; 0,15;
0,6; 0,592; 0,594; 0,593; 0,591; 0,614; 0,595; 0,6; 0,587; 0,611; 0,596; 0,597; 0,617; 0,596; 0,591; 0,597; 0,594; 0,596; 0,597; 0,59;
0,781; 0,768; 0,769; 0,769; 0,77; 0,783; 0,772; 0,763; 0,787; 0,768; 0,77; 0,77; 0,775; 0,77; 0,772; 0,774; 0,764; 0,768; 0,773; 0,766;
0,457; 0,457; 0,452; 0,468; 0,458; 0,456; 0,45; 0,45; 0,45; 0,458; 0,458; 0,454; 0,454; 0,468; 0,45; 0,473; 0,456; 0,454; 0,467; 0,453;
0,159; 0,163; 0,159; 0,16; 0,159; 0,161; 0,162; 0,16; 0,16; 0,159; 0,16; 0,162; 0,159; 0,159; 0,161; 0,161; 0,16; 0,162; 0,16; 0,16;
0,268; 0,268; 0,271; 0,269; 0,266; 0,268; 0,274; 0,272; 0,272; 0,267; 0,269; 0,268; 0,267; 0,266; 0,27; 0,269; 0,268; 0,268; 0,269; 0,271;
0,822; 0,814; 0,822; 0,812; 0,818; 0,817; 0,814; 0,817; 0,804; 0,809; 0,814; 0,817; 0,807; 0,815; 0,818; 0,818; 0,815; 0,827; 0,813; 0,817;
0,466; 0,463; 0,461; 0,458; 0,458; 0,461; 0,461; 0,46; 0,461; 0,46; 0,457; 0,464; 0,46; 0,458; 0,467; 0,458; 0,457; 0,458; 0,46; 0,46;
0,148; 0,146; 0,149; 0,146; 0,147; 0,147; 0,146; 0,146; 0,147; 0,148; 0,147; 0,146; 0,148; 0,147; 0,151; 0,148; 0,145; 0,146; 0,147; 0,145;
0,284; 0,278; 0,292; 0,281; 0,283; 0,284; 0,277; 0,288; 0,278; 0,283; 0,283; 0,279; 0,28; 0,28; 0,282; 0,279; 0,279; 0,28; 0,279; 0,28;
0,122; 0,121; 0,121; 0,121; 0,121; 0,12; 0,12; 0,121; 0,121; 0,122; 0,121; 0,12; 0,129; 0,121; 0,12; 0,121; 0,121; 0,121; 0,121; 0,12;
0,214; 0,219; 0,199; 0,202; 0,204; 0,201; 0,202; 0,2; 0,202; 0,204; 0,201; 0,221; 0,202; 0,202; 0,202; 0,203; 0,21; 0,209; 0,203; 0,202;
0,072; 0,07; 0,069; 0,069; 0,071; 0,071; 0,071; 0,07; 0,07; 0,07; 0,07; 0,071; 0,07; 0,07; 0,07; 0,069; 0,07; 0,07; 0,07; 0,071;
0,04; 0,039; 0,039; 0,039; 0,039; 0,04; 0,039; 0,039; 0,039; 0,039; 0,039; 0,039; 0,039; 0,039; 0,039; 0,039; 0,039; 0,039; 0,039; 0,039;
